kw,qid,label,mode,exact_label,exact_alias,ctx,sl_log1p,p31_cnt,p279_cnt,ctx_p31,ctx_p279,alias_inv,y
TEM,Q19281,Tem,none,0,0,0,2.71,1,0,42.1,0,1,0
TEM,Q13384512,Template:Infobox lighthouse,none,0,0,0,4.01,1,0,24.7,0,1,0
TEM,Q1517587,Témiscouata,none,0,0,0,2.4,1,0,29.6,0,0.4,0
TEM,Q999473,Temora,none,0,0,1.6,2.56,2,0,37.6,0,1,0
TEM,Q18047858,PLXDC2,none,0,0,0,1.95,1,1,22.8,20.5,0.5,0
TEM,Q14888544,temperature homeostasis,none,0,0,0,0,1,1,41.9,26.9,0.5,0
TEM,Q68816637,Temple,none,0,0,0,0.69,1,0,29.5,0,1,0
TEM,Q842400,temples of Kwan Tai,none,0,0,0,1.95,0,1,0,26.8,0.5,0
TEM,Q6038518,Template:JPN,none,0,0,0,5.06,1,0,36.6,0,1,0
TEM,Q18615962,Temnaspis,none,0,0,0,2.08,1,0,35.2,0,1,0
TEM,Q622088,Temnitztal,none,0,0,0,3.5,1,0,20.4,0,1,0
TEM,Q7670676,Template:Country data Singapore,none,0,0,0,4.92,2,0,37.3,0,1,0
TEM,Q16884395,Templeman,none,0,0,0,1.39,1,0,32,0,1,0
TEM,Q325555,Recaș,none,0,0,0,3.43,1,0,28.7,0,0.25,0
TEM,Q18045563,TNMD,alias,0,1,0,1.61,1,1,22.8,20.5,0.333,0
TEM,Q6307983,Template:User pt-2,none,0,0,0,4.88,1,0,24.4,0,1,0
TEM,Q7841462,triethylenemelamine,alias,0,1,0,2.08,1,1,31.6,35.5,0.143,0
TEM,Q15914744,Wang Yeh temple,none,0,0,0,0.69,0,1,0,17,0.5,0
TEM,Q28528875,Template:Geographical links,none,0,0,0,0.69,1,0,36.6,0,1,0
TEM,Q1757885,Temnostoma,none,0,0,0,2.56,1,0,35.2,0,1,0
TEM,Q9356650,Temple Grafton,none,0,0,0,2.08,2,0,40.7,0,0.667,0
TEM,Q6581188,Template:User af,none,0,0,0,4.23,1,0,24.4,0,1,0
TEM,Q390040,Temryuksky District,none,0,0,0,2.89,1,0,24.5,0,1,0
TEM,Q1080022,musical temperament,none,0,0,1.6,3.26,0,1,0,22.5,0.286,0
TEM,Q7698629,Temple Owls football,none,0,0,0,1.1,2,0,41.7,0,1,0
TEM,Q2402896,tempietto,none,0,0,0,1.95,0,2,0,41.9,1,0
TEM,Q16017668,Tem,none,0,0,0,1.39,1,0,27.2,0,0.667,0
TEM,Q1580709,Thembisa,none,0,0,0,3.26,1,0,27.4,0,0.667,0
TEM,Q12058596,TEM,label,1,0,0,1.1,1,0,33.8,0,1,0
TEM,Q16970,église,none,0,0,0,5.15,1,3,20.6,43,0.25,0
TEM,Q842402,mandir,none,0,0,0,4.04,0,1,0,26.8,0.286,0
TEM,Q44539,temple,none,0,0,0,4.75,0,1,0,27.6,0.333,0
TEM,Q34627,synagogue,none,0,0,1.6,4.83,0,3,0,45.2,0.154,0
TEM,Q175166,tempera,none,0,0,0,4.2,0,2,0,40.8,0.5,0
TEM,Q5393308,temple bouddhiste,none,0,0,0,3.47,0,4,0,44.9,0.167,0
TEM,Q425088,témozolomide,none,0,0,0,3.4,1,1,31.6,32.8,0.25,0
TEM,Q83404,Timișoara,none,0,0,0,4.74,5,0,43.3,0,0.1,0
TEM,Q2635276,Temps immémorial,none,0,0,1.6,2.64,2,0,32.8,0,0.667,0
TEM,Q11471,temps,none,0,0,0,5.52,2,2,40.1,40.7,1,0
TEM,Q158106,arrondissement de Tempelhof-Schöneberg,none,0,0,0,3.76,1,0,21.6,0,0.4,0
TEM,Q929313,temponade cardiaque,none,0,0,0,3.37,2,2,41.2,41.3,0.5,0
TEM,Q3517772,temps des fêtes,none,0,0,3.2,3.4,1,2,26.7,41.6,0.222,0
TEM,Q408265,lorazépam,none,0,0,1.6,3.87,1,1,31.6,26.8,0.095,0
TEM,Q81054,tempête,none,0,0,0,4.84,1,2,35.4,38.3,0.4,0
TEM,Q184872,loisir,none,0,0,0,4.34,0,1,0,31,0.154,0
TEM,Q30192,Temps moyen de Greenwich,none,0,0,0,4.43,2,0,41.7,0,0.667,0
TEM,Q849737,Tomographie d'émission monophotonique,none,0,0,0,3.33,1,4,37.8,45.5,0.167,0
TEM,Q11663,temps,none,0,0,0,5.16,1,2,25.7,40.8,0.25,0
TEM,Q1144385,taux de prothrombine,none,0,0,1.6,3.4,0,1,0,23.6,0.286,0
TEM,Q182878,tempête de sable,none,0,0,1.6,4.26,1,2,23.7,35.6,0.222,0
TEM,Q28130149,temps-écran,none,0,0,0,3.09,0,1,0,32.5,0.667,0
TEM,Q31621,Coenraad Jacob Temminck,none,0,0,0,3.89,1,0,42.1,0,0.286,0
TEM,Q1536,temps universel coordonné,none,0,0,3.2,5.04,2,0,41.7,0,0.222,0
TEM,Q3281534,histoire moderne,none,0,0,0,4.37,4,1,45.5,33.2,0.182,0
TEM,Q21196,Pâques,none,0,0,1.6,5.35,2,0,41.7,0,0.091,0
TEM,Q1755136,temps de céphaline activée,none,0,0,1.6,2.94,1,1,30.2,23.6,0.25,0
TEM,Q185586,Timiș,none,0,0,0,4.23,1,0,25,0,0.118,0
TEM,Q519157,Templin,none,0,0,0,3.91,2,0,37,0,1,0
TEM,Q2680845,temple chinois,none,0,0,0,2.3,0,2,0,41.8,0.667,0
TEM,Q51685,Tempe,none,0,0,0,4.3,2,0,36.5,0,0.5,0
TEM,Q130011,orage magnétique,none,0,0,0,3.93,0,3,0,41.1,0.25,0
TEM,Q260732,temps de travail,none,0,0,1.6,3.87,0,2,0,39.4,0.4,0
TEM,Q3157041,tempête tropicale,none,0,0,0,2.08,0,4,0,46,1,0
TEM,Q6807904,maison d'assemblée,none,0,0,0,1.39,0,1,0,33.5,0.286,0
TEM,Q1076369,choc cytokinique,none,0,0,0,3.26,1,2,28.7,37.5,0.286,0
TEM,Q82128,Temuco,none,0,0,0,4.62,2,0,20.8,0,1,0
TEM,Q11466,température,none,0,0,0,5.11,1,2,34,36.1,0.667,0
TEM,Q1136687,temple de la renommée du hockey,none,0,0,1.6,3.37,1,0,19.2,0,0.5,0
TEM,Q196939,témoin,none,0,0,1.6,4.22,2,2,36.7,39,0.667,0
TEM,Q1454583,temple maçonnique,none,0,0,0,2.64,0,3,0,45.2,0.2,0
TEM,Q663272,expert ou experte judiciaire,none,0,0,0,3.33,2,2,40.6,39.9,0.222,0
TEM,Q1046088,temple de la renommée,none,0,0,1.6,3.33,1,2,28.5,41.1,1,0
TEM,Q414796,témazépam,none,0,0,0,3.37,1,1,31.6,35.5,0.182,0
TEM,Q1997676,Tempoal,none,0,0,0,2.48,1,0,26.2,0,1,0
TEM,Q1196258,témoignage,none,0,0,0,3.37,2,3,40.1,43.9,0.667,0
TEM,Q720,Gengis Khan,none,0,0,0,5.32,1,0,42.1,0,0.087,0
TEM,Q363830,Tempelhof,none,0,0,1.6,3.3,1,0,28.8,0,0.667,0
TEM,Q4050817,Temnothorax,none,0,0,0,2.64,1,0,35.2,0,0.5,0
nsfc,Q4501917,National Natural Science Foundation of China,none,0,0,0,1.79,4,0,43.3,0,0.667,1
nsfc,Q1206671,National Society of Film Critics,none,0,0,0,3.14,2,0,28.4,0,0.333,0
national natural science foundation of china,Q4501917,National Natural Science Foundation of China,label,1,0,0,1.79,4,0,43.3,0,0.667,1
national natural science foundation of china,Q52217896,National Natural Science Foundation of China open access policy,none,0,0,0,0,1,0,26.9,0,1,0
hydrogen halides,Q1572088,hydrogen halide,label,1,0,4.3,3.18,1,4,32.5,42.2,0.5,1
clouds,Q8074,cloud,label,1,1,0.5,5.44,1,2,19.2,19.3,0.667,1
clouds,Q868447,The Clouds,alias,0,1,0,3.4,1,0,23.4,0,0.4,0
clouds,Q98706478,Clouds,label,1,0,0,0,1,0,9.9,0,1,0
clouds,Q5135768,Clouds House,alias,0,1,0,1.79,1,0,9.1,0,0.667,0
clouds,Q1102640,Cloudesley Shovell,none,0,0,0,2.48,1,0,24.2,0,0.333,0
clouds,Q113723376,Clouds,label,1,0,0,0,1,0,18.2,0,1,0
clouds,Q18563217,Clouds,label,1,0,0,0,1,0,11.9,0,1,0
clouds,Q102080180,Clouds,label,1,0,0,0,1,0,9.9,0,0.667,0
clouds,Q110218463,Clouds,label,1,0,0,0,1,0,14.2,0,1,0
clouds,Q110548120,Clouds,label,1,0,0,0,3,0,29.8,0,1,0
clouds,Q616706,Apache Derby,none,0,0,0,2.71,3,0,39.8,0,0.286,0
clouds,Q391351,Clouds Rest,none,0,0,0,2.08,1,0,14.9,0,0.667,0
clouds,Q2496860,Apache CloudStack,none,0,0,0,2.48,1,0,15.6,0,0.5,0
clouds,Q49397,CloudSat,none,0,0,0,3,1,0,16.1,0,0.5,0
clouds,Q4042322,CloudStore,none,0,0,0.5,1.61,3,0,32,0,0.4,0
clouds,Q20900263,Cloudsley Louis Rutter,none,0,0,0,1.1,1,0,24.2,0,0.286,0
clouds,Q22095616,CloudSim,none,0,0,0,1.1,1,0,16.4,0,1,0
clouds,Q19461057,Clouds Hill,none,0,0,0,0.69,1,0,9.1,0,1,0
clouds,Q5135617,CloudSNAP,none,0,0,0,0,1,0,15.6,0,1,0
clouds,Q107385682,cloudscraper,none,0,0,0,0,1,0,10.2,0,1,0
clouds,Q24469,ceinture de Gould,none,0,0,0,3.58,1,0,19.4,0,0.667,0
clouds,Q5534660,Geoffrey Hendricks,none,0,0,0,1.79,1,0,24.2,0,0.4,0
clouds,Q3399465,Clouds Hill,none,0,0,0,2.08,1,0,10.6,0,1,0
clouds,Q483639,cloud computing,none,0,0,0.5,4.51,0,4,0,40.8,0.154,0
clouds,Q914359,cloud storage,none,0,0,0.5,3.58,0,2,0,33,0.4,0
clouds,Q160092,Rubus chamaemorus,none,0,0,0.5,4.17,1,0,18.4,0,0.111,0
clouds,Q4817119,atmospheric river,none,0,0,0.5,3.04,0,2,0,25.1,0.25,0
clouds,Q5135629,Cloud,label,1,0,0,1.39,1,0,18.2,0,1,0
clouds,Q35494,CALIPSO,none,0,0,1.6,3,1,0,16.1,0,0.286,0
clouds,Q1343205,file-hosting service,none,0,0,0.5,3.14,0,2,0,25.8,0.143,0
clouds,Q36135,clouded leopard,none,0,0,0.5,4.39,1,0,18.4,0,0.222,0
clouds,Q376353,Cloud County,none,0,0,0,3.83,1,0,8,0,0.4,0
clouds,Q1346018,infrastructure as a service,none,0,0,0.5,3.14,1,2,10.6,33,0.5,0
clouds,Q30665,Clouded apollo,none,0,0,0.5,3.56,1,0,18.4,0,0.333,0
clouds,Q214469,cloud forest,none,0,0,0,3.81,0,2,0,20.2,0.167,0
clouds,Q180382,cloud burst,none,0,0,0,3.76,1,2,19.2,23.2,0.667,0
clouds,Q4778915,Cloudflare,none,0,0,0,3.69,3,0,26.6,0,0.333,0
clouds,Q664424,CLOUD,none,0,0,0.5,2.08,1,0,26.4,0,0.667,0
clouds,Q110160416,cloud region,none,0,0,0,0,0,1,0,14.4,1,0
clouds,Q2553613,internet video,none,0,0,0,2.08,0,2,0,25.2,0.286,0
clouds,Q2592476,cloud,label,1,0,0,1.1,1,0,3.7,0,1,0
clouds,Q1055865,overcast,none,0,0,0,2.71,1,0,17.7,0,0.667,0
clouds,Q19827848,Cloud9,none,0,0,0,3,3,0,28.5,0,0.333,0
clouds,Q12108188,Cloud 9,none,0,0,0,2.89,1,0,27,0,1,0
clouds,Q5135628,Cloud,label,1,0,0,2.4,1,0,24.2,0,0.4,0
clouds,Q85632250,cloud gaming service,none,0,0,1,0,0,2,0,17,1,0
clouds,Q2024390,remote backup service,none,0,0,0.5,2.48,0,2,0,26.1,0.5,0
clouds,Q520871,Colias croceus,none,0,0,0.5,3.61,1,0,18.4,0,0.5,0
clouds,Q830457,cloud cover,none,0,0,0,3.83,0,3,0,28.3,0.333,0
clouds,Q105692813,IEEE International Conference on Cloud Computing,none,0,0,0,0,1,0,18.8,0,0.667,0
clouds,Q18615484,Cloud,label,1,0,0,0,1,0,11.2,0,0.5,0
clouds,Q432556,Cloudcroft,none,0,0,0,3.43,1,0,12.5,0,0.5,0
clouds,Q2499178,cloud database,none,0,0,0,2.71,0,1,0,17.6,0.5,0
clouds,Q87526641,☁,none,0,0,0,0.69,2,0,22.7,0,0.4,0
clouds,Q589099,Cloud Gate,none,0,0,0,3.43,2,0,20.5,0,0.5,0
clouds,Q2979728,Cloudera,none,0,0,0,2.56,2,0,32.5,0,0.667,0
clouds,Q1102629,jeu à la demande,none,0,0,0.5,3.33,1,2,15,26.1,0.25,0
clouds,Q16540469,Cloud Imperium Games,none,0,0,0,1.61,1,0,18.2,0,0.4,0
clouds,Q50866964,Cloud Native Computing Foundation,none,0,0,0,2.56,2,0,31.3,0,0.5,0
clouds,Q4036320,Cloud9,none,0,0,0,2.2,2,0,24,0,0.667,0
clouds,Q5135655,Cloud County Community College,none,0,0,0,1.1,2,0,14.3,0,1,0
clouds,Q509074,Cloudina,none,0,0,0,2.56,1,0,11.1,0,1,0
clouds,Q111854927,Cloud M1,none,0,0,0,0,1,0,18.2,0,0.5,0
clouds,Q28974776,cloud-init,none,0,0,0,0.69,1,0,16.4,0,1,0
clouds,Q29186572,Cloudesley Brereton,none,0,0,0,1.39,1,0,24.2,0,0.5,0
monte carlo simulations,Q232207,Monte Carlo method,none,0,0,6.7,4.01,1,2,31.8,47.4,0.286,1
coarse-grained models,Q25305554,Coarse-grained model,label,1,0,1.7,1.1,0,1,0,29.6,0.667,1
electrospray ionisation,Q902061,electrospray ionization,alias,0,1,0,2.64,0,1,0,21,0.5,1
parallel tempering,Q7135015,parallel tempering,label,1,0,3.3,1.39,0,1,0,31.8,0.667,1
excited states,Q215328,excited state,label,1,0,6.4,3.78,1,0,29.6,0,0.4,1
excited states,Q113207671,excited state chemistry,none,0,0,5.1,0,4,1,45.1,29.6,0.667,0
excited states,Q30694091,Excited state intramolecular proton transfer,none,0,0,2.6,1.1,0,0,0,0,1,0
molecular anions,Q55511438,polyatomic anion,none,0,0,1.3,0,1,2,32.3,37.8,0.667,1
collagen,Q26868,collagen,label,1,0,2.3,4.17,2,3,38.7,43.8,0.333,1
collagen,Q24768908,Collagen triple helix repeat,alias,0,1,2.3,2.48,1,0,37.7,0,0.4,0
collagen,Q1779300,connective tissue disease,none,0,0,0,2.83,1,2,39.1,39.6,0.182,0
collagen,Q54810453,collagen-containing extracellular matrix,none,0,0,0,0,1,1,30.1,42.1,1,0
collagen,Q450470,collagenous colitis,none,0,0,2.3,2.3,1,2,39.1,41.6,1,0
collagen,Q95353897,"collagen triple helix repeat, protein family",none,0,0,2.3,0,2,1,44.7,14.8,0.667,0
collagen,Q1446169,collagen disease,none,0,0,2.3,2.08,1,1,39.1,37.5,0.667,0
collagen,Q14819451,collagen binding,none,0,0,11.6,0,1,1,41.3,35.6,0.667,0
collagen,Q14864949,collagen fibril organization,none,0,0,2.3,1.1,1,2,41.3,43.8,0.333,0
collagen,Q14877619,collagen catabolic process,none,0,0,2.3,0,1,2,41.3,48.9,0.333,0
collagen,Q18035016,CERT1,none,0,0,2.3,1.39,1,1,28.9,26,0.2,0
collagen,Q5145884,collagen type I alpha 1 chain,none,0,0,2.3,2.3,1,0,40.5,0,0.154,0
collagen,Q5145885,Collagen type III alpha 1 chain,none,0,0,2.3,2.08,1,0,40.5,0,0.2,0
collagen,Q21102497,Collagen type VII alpha 1 chain,none,0,0,2.3,1.95,1,0,40.5,0,0.25,0
collagen,Q29817579,Collagen type IV alpha 1 Dmel_CG4145,alias,0,1,2.3,0,1,0,40.5,0,0.1,0
collagen,Q18051562,CCBE1,none,0,0,2.3,1.95,1,1,28.9,26,0.5,0
collagen,Q21109884,Collagen type XI alpha 2 chain,none,0,0,2.3,2.2,1,0,40.5,0,0.333,0
collagen,Q5145890,Collagen type V alpha 1 chain,none,0,0,2.3,1.79,1,0,40.5,0,0.4,0
collagen,Q5013311,Collagen type I alpha 2 chain,none,0,0,2.3,1.61,1,0,40.5,0,0.154,0
collagen,Q5145888,Collagen type II alpha 1 chain,none,0,0,2.3,1.79,1,0,40.5,0,0.2,0
collagen,Q5145901,Collagen type XVII alpha 1 chain,none,0,0,2.3,1.79,1,0,40.5,0,0.154,0
collagen,Q21102501,Collagen type IX alpha 2 chain,none,0,0,2.3,1.61,1,0,40.5,0,0.286,0
collagen,Q21131338,Collagen type XI alpha 1 chain,none,0,0,2.3,1.95,1,0,40.5,0,0.286,0
collagen,Q21111945,Collagen type XXV alpha 1 chain,none,0,0,2.3,1.61,1,0,40.5,0,0.222,0
collagen,Q5013327,Collagen type V alpha 2 chain,none,0,0,2.3,1.61,1,0,40.5,0,0.286,0
collagen,Q5145904,Collagen type XXVII alpha 1 chain,none,0,0,2.3,1.61,1,0,40.5,0,0.333,0
collagen,Q21106784,Collagen type XII alpha 1 chain,none,0,0,2.3,1.79,1,0,40.5,0,0.333,0
collagen,Q21100856,Collagen type XXIII alpha 1 chain,none,0,0,2.3,1.79,1,0,40.5,0,0.333,0
collagen,Q21106791,Collagen type XVI alpha 1 chain,none,0,0,2.3,1.79,1,0,40.5,0,0.286,0
collagen,Q21102486,Collagen type IX alpha 1 chain,none,0,0,2.3,1.79,1,0,40.5,0,0.25,0
collagen,Q21130730,Collagen type XIII alpha 1 chain,none,0,0,2.3,1.61,1,0,40.5,0,0.333,0
collagen,Q21130061,Collagen type IV alpha 1 chain,none,0,0,2.3,1.79,1,0,40.5,0,0.25,0
collagen,Q5145886,COL4A1,none,0,0,2.3,0,1,1,28.9,26,0.154,0
collagen,Q22298371,"molting cycle, collagen and cuticulin-based cuticle",none,0,0,2.3,0,1,1,41.3,33.2,0.5,0
collagen,Q21102491,Collagen type V alpha 3 chain,none,0,0,2.3,1.39,1,0,40.5,0,0.333,0
collagen,Q21115678,Collagen type XIV alpha 1 chain,none,0,0,2.3,1.61,1,0,40.5,0,0.286,0
collagen,Q5145914,Collagenous spherulosis,none,0,0,0,1.1,1,1,41,24.9,0.667,0
collagen,Q21111547,Collagen type XXIV alpha 1 chain,none,0,0,2.3,1.61,1,0,40.5,0,0.4,0
collagen,Q5145905,Collagen type IV alpha 3 chain,none,0,0,2.3,1.61,1,0,40.5,0,0.25,0
collagen,Q14914343,collagen metabolic process,none,0,0,11.6,0,1,1,41.3,39.6,0.5,0
collagen,Q21116171,Collagen type XVIII alpha 1 chain,none,0,0,2.3,1.79,1,0,40.5,0,0.222,0
collagen,Q5145913,collagenous fibroma,none,0,0,0,1.1,0,1,0,21.2,0.5,0
collagen,Q810010,Basigin (Ok blood group),none,0,0,0,2.48,1,0,40.5,0,0.154,0
collagen,Q21130069,Collagen type IX alpha 3 chain,none,0,0,2.3,1.61,1,0,40.5,0,0.286,0
collagen,Q15317046,COL1A2,none,0,0,2.3,0,1,1,28.9,26,0.286,0
collagen,Q5161704,Connective tissue nevus,none,0,0,2.3,1.1,0,1,0,33.3,0.182,0
collagen,Q21118029,procollagen-proline 4-dioxygenase activity,none,0,0,2.3,0,1,2,41.3,36,0.143,0
collagen,Q508356,COL8A1,none,0,0,2.3,0,1,1,28.9,26,0.4,0
collagen,Q21130062,Collagen type IV alpha 2 chain,none,0,0,2.3,1.61,1,0,40.5,0,0.4,0
collagen,Q7434197,collagénome storiforme circonscrit,none,0,0,0,0.69,0,2,0,33.3,0.286,0
collagen,Q304956,collagénase,none,0,0,0,2.77,1,2,34.3,45.8,1,0
collagen,Q19000791,collagénome éruptif,none,0,0,0,0,1,2,39.1,41.6,0.2,0
collagen,Q5145911,collagénase de clostridium histolyticum,none,0,0,0,0.69,3,1,42.6,17.2,0.5,0
collagen,Q7300317,collagénose perforante réactionnelle,none,0,0,0,0.69,0,1,0,25.7,1,0
collagen,Q22669857,collage,none,0,0,0,0,1,2,34.3,41.6,1,0
collagen,Q18558142,connectivité éosinophilique disséminée,none,0,0,0,0,1,2,39.1,39.5,0.667,0
collagen,Q3281418,collagène type VI,none,0,0,2.3,1.61,1,1,27.4,45.1,0.4,0
collagen,Q5424305,Collagène FACIT,none,0,0,0,1.1,1,1,38,45.1,0.667,0
collagen,Q18113554,Collagenus,none,0,0,0,0.69,1,0,38.3,0,1,0
collagen,Q14871594,Collagenus dasysternus,none,0,0,0,1.79,1,0,38.3,0,1,0
collagen,Q55780406,collagénome cutané familial,none,0,0,0,0.69,1,2,39.1,42.1,0.5,0
biosensors,Q669391,biosensor,label,1,0,0,3.43,0,1,0,38,0.5,1
