keyword,qid,label,exact_label,ctx_lab,sl_lab,p31_lab,p279_lab,exact_alias,ctx_ali,sl_ali,p31_ali,p279_ali,total_pure_score,__sitelinks,p31_cnt,has_p279
Mixed convection,Q128596696,Mixed convection in a lid-driven cavity containing triangular block with constant heat flux: Effect of location of block,0,4.2,0.0,1.0,0,0,0.0,0.0,1.0,0,0.0,0,1.0,0
Mixed convection,Q127243199,"Mixed convection micropolar ferrofluid flow with viscous dissipation, joule heating and convective boundary conditions",0,4.2,0.0,1.0,0,0,0.0,0.0,1.0,0,0.0,0,1.0,0
Mixed convection,Q127530134,Mixed Convection Boundary Layer Flow of Viscoelastic Nanofluid Past a Horizontal Circular Cylinder with Convective Boundary Condition,0,4.8,0.0,1.0,0,0,0.0,0.0,1.0,0,0.0,0,1.0,0
Mixed convection,Q127570397,Mixed convection in a narrow rectangular cavity with bottom inlet and outlet,0,4.8,0.0,1.0,0,0,0.0,0.0,1.0,0,0.0,0,1.0,0
Mixed convection,Q130161331,"Mixed convection analysis of variable heat source/sink on MHD Maxwell, Jeffrey, and Oldroyd-B nanofluids over a cone with convective conditions using Buongiorno’s model",0,6.0,0.0,1.0,0,0,0.0,0.0,1.0,0,0.0,0,1.0,0
Mixed convection,Q115235034,MIXED CONVECTION NANOFLUID FLOW OVER A VERTICAL WEDGE SATURATED IN POROUS MEDIA WITH THE INFLUENCE OF THERMAL DISPERSION USING LIE GROUP SCALING,0,4.8,0.0,1.0,0,0,0.0,0.0,1.0,0,0.0,0,1.0,0
Mixed convection,Q115612796,Mixed convection flows of tangent hyperbolic fluid past an isothermal wedge with entropy: A mathematical study,0,4.8,0.0,1.0,0,0,0.0,0.0,1.0,0,0.0,0,1.0,0
Mixed convection,Q129972653,Mixed Convection of a Bingham Fluid in Differentially Heated Square Enclosure with Partitions,0,3.6,0.0,1.0,0,0,0.0,0.0,1.0,0,0.0,0,1.0,0
Mixed convection,Q57930929,Mixed Convection Over a Horizontal Plate With Streamwise Non-Uniform Surface Temperature Distribution,0,3.6,0.0,1.0,0,0,0.0,0.0,1.0,0,0.0,0,1.0,0
Mixed convection,Q126584549,Mixed convection and stability analysis of stagnation-point boundary layer flow and heat transfer of hybrid nanofluids over a vertical plate,0,4.8,0.0,1.0,0,0,0.0,0.0,1.0,0,0.0,0,1.0,0
Mixed convection,Q58911789,Mixed Convection Flow over an Unsteady Stretching Surface in a Porous Medium with Heat Source,0,5.4,0.0,1.0,0,0,0.0,0.0,1.0,0,0.0,0,1.0,0
Mixed convection,Q59107333,Mixed Convection over an Inclined Wavy Surface in a Nanofluid Saturated Non-Darcy Porous Medium with Radiation Effect,0,4.2,0.0,1.0,0,0,0.0,0.0,1.0,0,0.0,0,1.0,0
Mixed convection,Q126854867,Mixed Convection of Bingham Fluid in a Two Sided Lid-Driven Cavity Heated From Below,0,3.6,0.0,1.0,0,0,0.0,0.0,1.0,0,0.0,0,1.0,0
Mixed convection,Q129781955,Mixed convection from a discrete heater in lid-driven enclosures filled with non-Newtonian nanofluids,0,4.2,0.0,1.0,0,0,0.0,0.0,1.0,0,0.0,0,1.0,0
Mixed convection,Q129749709,Mixed convection hybrid nanofluid flow over a stationary permeable vertical cone with thermal radiation and convective boundary condition,0,4.8,0.0,1.0,0,0,0.0,0.0,1.0,0,0.0,0,1.0,0
Mixed convection,Q126672316,Mixed convection and heat flow characteristics in a lid-driven enclosure with porous fins: Full numerical modeling and parametric investigations,0,5.4,0.0,1.0,0,0,0.0,0.0,1.0,0,0.0,0,1.0,0
Mixed convection,Q128350359,Mixed convection in a lid-driven cavity filled with single and multiple-walled carbon nanotubes nanofluid having an inner elliptic obstacle,0,4.2,0.0,1.0,0,0,0.0,0.0,1.0,0,0.0,0,1.0,0
Mixed convection,Q126619760,Mixed convection Ag-MgO/water hybrid nanofluid flow in a porous horizontal channel,0,4.2,0.0,1.0,0,0,0.0,0.0,1.0,0,0.0,0,1.0,0
Mixed convection,Q126817473,Mixed convection and radiation from an isothermal bladed structure,0,3.0,0.0,1.0,0,0,0.0,0.0,1.0,0,0.0,0,1.0,0
Mixed convection,Q128231483,Mixed Convection in Lid-Driven Cavity with Inclined Magnetic Field,0,3.0,0.0,1.0,0,0,0.0,0.0,1.0,0,0.0,0,1.0,0
Mixed convection,Q129895100,Mixed Convection Heat Transfer of Shear-Thinning Fluids around Confined Square Cylinder at Low Reynolds Number,0,6.5,0.0,1.0,0,0,0.0,0.0,1.0,0,0.0,0,1.0,0
Mixed convection,Q128294932,Mixed convection and radiation studies on thermally developing laminar flow in a horizontal square channel with variable side heated wall,0,7.1,0.0,1.0,0,0,0.0,0.0,1.0,0,0.0,0,1.0,0
Mixed convection,Q129897697,Mixed convection inside a fluid‐porous composite cavity with centrally rotating cylinder,0,3.6,0.0,1.0,0,0,0.0,0.0,1.0,0,0.0,0,1.0,0
Mixed convection,Q128910395,Mixed convection flow due to a moving vertical plate parallel to free stream under the influence of Newtonian heating and thermal radiation,0,4.8,0.0,1.0,0,0,0.0,0.0,1.0,0,0.0,0,1.0,0
Mixed convection,Q124808227,Mixed Convection in an Idealized Coastal Urban Environment With Momentum and Thermal Surface Heterogeneities,0,3.6,0.0,1.0,0,0,0.0,0.0,1.0,0,0.0,0,1.0,0
Mixed convection,Q129653122,Mixed Convection in Vertical Flat and Circular Porous Microchannels,0,3.0,0.0,1.0,0,0,0.0,0.0,1.0,0,0.0,0,1.0,0
Mixed convection,Q126534187,Mixed convection heat transfer by nanofluids in a cavity with two oscillating flexible fins: A fluid–structure interaction approach,0,4.2,0.0,1.0,0,0,0.0,0.0,1.0,0,0.0,0,1.0,0
Mixed convection,Q128858627,Mixed convection in a square enclosure with a rotating flat plate,0,3.0,0.0,1.0,0,0,0.0,0.0,1.0,0,0.0,0,1.0,0
Mixed convection,Q57930967,Mixed Convection Flow of Micropolar Fluid in an Open Ended Arc-Shape Cavity,0,3.6,0.0,1.0,0,0,0.0,0.0,1.0,0,0.0,0,1.0,0
Convective instability,Q3268911,Convective instability,1,0.6,2.08,0.0,1,0,0.0,2.08,0.0,1,28.45,7,0.0,1
Convective instability,Q54734637,Convective instability and mass transport of diffusion layers in a Hele-Shaw geometry.,0,3.6,0.0,1.0,0,0,0.0,0.0,1.0,0,0.0,0,1.0,0
Convective instability,Q57879073,Convective instability of a boundary layer with temperature-and strain-rate-dependent viscosity in terms of 'available buoyancy',0,3.0,0.0,1.0,0,0,0.0,0.0,1.0,0,0.0,0,1.0,0
Convective instability,Q57879070,Convective instability of thickening mantle lithosphere,0,1.2,0.0,1.0,0,0,0.0,0.0,1.0,0,0.0,0,1.0,0
Convective instability,Q58823649,Convective instability of a relativistic ejecta decelerated by a surrounding medium: an origin of magnetic fields in gamma-ray bursts?,0,3.6,0.0,1.0,0,0,0.0,0.0,1.0,0,0.0,0,1.0,0
Convective instability,Q60738620,Convective instability in differentially rotating disks,0,1.8,0.0,1.0,0,0,0.0,0.0,1.0,0,0.0,0,1.0,0
Convective instability,Q77843532,Convective instability in a rotating fluid layer under modulation of the rotating rate,0,4.2,0.0,1.0,0,0,0.0,0.0,1.0,0,0.0,0,1.0,0
Convective instability,Q77853396,Convective instability with time-varying rotation,0,1.8,0.0,1.0,0,0,0.0,0.0,1.0,0,0.0,0,1.0,0
Convective instability,Q47631359,Convective instability and boundary driven oscillations in a reaction-diffusion-advection model,0,3.0,0.0,1.0,0,0,0.0,0.0,1.0,0,0.0,0,1.0,0
Convective instability,Q63644491,Convective Instability in Proto–Neutron Stars,0,1.2,0.0,1.0,0,0,0.0,0.0,1.0,0,0.0,0,1.0,0
Convective instability,Q57849102,Convective instability in ice I with non-Newtonian rheology: Application to the icy Galilean satellites,0,3.0,0.0,1.0,0,0,0.0,0.0,1.0,0,0.0,0,1.0,0
Convective instability,Q51967068,Convective instability of magnetic fluids under alternating magnetic fields,0,1.8,0.0,1.0,0,0,0.0,0.0,1.0,0,0.0,0,1.0,0
Convective instability,Q51988224,Convective instability of magnetic fluids,0,1.8,0.0,1.0,0,0,0.0,0.0,1.0,0,0.0,0,1.0,0
Convective instability,Q51988285,Convective instability in protein crystal growth,0,2.4,0.0,1.0,0,0,0.0,0.0,1.0,0,0.0,0,1.0,0
Convective instability,Q33353731,Convective instability in a liquid-liquid system due to complexation with a crown ether,0,3.0,0.0,1.0,0,0,0.0,0.0,1.0,0,0.0,0,1.0,0
Convective instability,Q113672535,Convective instability of a thickened boundary layer and its relevance for the thermal evolution of continental convergent belts,0,4.8,0.0,1.0,0,0,0.0,0.0,1.0,0,0.0,0,1.0,0
Convective instability,Q111302826,Convective instability in sedimentation: 3-D numerical study,0,1.8,0.0,1.0,0,0,0.0,0.0,1.0,0,0.0,0,1.0,0
Convective instability,Q123569677,Convective instability of a rotating fluid,0,2.4,0.0,1.0,0,0,0.0,0.0,1.0,0,0.0,0,1.0,0
Convective instability,Q68308766,Convective instability in core-collapse supernovae,0,1.2,0.0,1.0,0,0,0.0,0.0,1.0,0,0.0,0,1.0,0
Convective instability,Q82590565,Convective instability induced by two-points nonlocality,0,1.2,0.0,1.0,0,0,0.0,0.0,1.0,0,0.0,0,1.0,0
Convective instability,Q57424436,Convective Instability of the Darcy Flow in a Horizontal Layer With Symmetric Wall Heat Fluxes and Local Thermal Nonequilibrium,0,6.5,0.0,1.0,0,0,0.0,0.0,1.0,0,0.0,0,1.0,0
Convective instability,Q130037281,Convective instability of a rotating fluid above a rapidly heated surface,0,2.4,0.0,1.0,0,0,0.0,0.0,1.0,0,0.0,0,1.0,0
Convective instability,Q118325424,CONVECTIVE INSTABILITY IN THERMOCAPILLARY MIGRATION OF A VISCOELASTIC DROPLET,0,2.4,0.0,1.0,0,0,0.0,0.0,1.0,0,0.0,0,1.0,0
Convective instability,Q125323702,Convective instability in a two-layer system of reacting fluids with concentration-dependent diffusion,0,3.0,0.0,1.0,0,0,0.0,0.0,1.0,0,0.0,0,1.0,0
Convective instability,Q125329977,Convective instability in two-layer system of reacting fluids with concentration-dependent diffusion,0,2.4,0.0,1.0,0,0,0.0,0.0,1.0,0,0.0,0,1.0,0
Convective instability,Q125345340,Convective instability of the thermovibrational flow of binary mixture in the presence of the Soret effect,0,3.0,0.0,1.0,0,0,0.0,0.0,1.0,0,0.0,0,1.0,0
Convective instability,Q128090587,Convective instability and electric potential oscillation in a water-oil-water system,0,2.4,0.0,1.0,0,0,0.0,0.0,1.0,0,0.0,0,1.0,0
Convective instability,Q128204030,Convective instability-induced mixing and its parameterization using large eddy simulation,0,1.2,0.0,1.0,0,0,0.0,0.0,1.0,0,0.0,0,1.0,0
Convective instability,Q79115025,Convective instability of an acidity front in Hele-Shaw cells,0,3.0,0.0,1.0,0,0,0.0,0.0,1.0,0,0.0,0,1.0,0
Convective instability,Q114640819,Convective instability when the temperature gradient and rotation vector are oblique to gravity. II. Real fluids with effects of diffusion,0,6.0,0.0,1.0,0,0,0.0,0.0,1.0,0,0.0,0,1.0,0
Convective instability,Q68609681,Convective instability and mixing in supernova envelopes,0,3.0,0.0,1.0,0,0,0.0,0.0,1.0,0,0.0,0,1.0,0
Convective instability,Q123569685,Convective instability of a liquid in hydrodynamically connected vertical channels,0,3.0,0.0,1.0,0,0,0.0,0.0,1.0,0,0.0,0,1.0,0
Convective instability,Q114640855,Convective instability when the temperature gradient and rotation vector are oblique to gravity. I. Fluids without diffusion,0,4.8,0.0,1.0,0,0,0.0,0.0,1.0,0,0.0,0,1.0,0
Convective instability,Q113237608,Convective instability in a diffusive predator–prey system,0,2.4,0.0,1.0,0,0,0.0,0.0,1.0,0,0.0,0,1.0,0
CVD,Q389735,cardiovascular disease,0,2.4,4.3,2.0,1,1,0.6,4.3,2.0,1,25.77,73,2.0,1
CVD,Q505668,Chemical vapor deposition,0,5.4,3.47,0.0,1,1,0.6,3.47,0.0,1,22.27,31,0.0,1
CVD,Q17928815,FLNA,0,1.2,1.95,1.0,1,0,0.0,1.95,1.0,1,0.0,6,1.0,1
CVD,Q5692507,Heart valve dysplasia,0,0.0,1.79,2.0,1,0,0.0,1.79,2.0,1,0.0,5,2.0,1
CVD,Q18030587,PLD1,0,1.2,1.39,1.0,1,0,0.0,1.39,1.0,1,0.0,3,1.0,1
CVD,Q15817612,CVD Prevention and Control,0,1.2,0.0,1.0,0,0,0.0,0.0,1.0,0,0.0,0,1.0,0
CVD,Q102459691,Cardiovascular Digital Health Journal,0,0.0,0.0,1.0,0,0,0.0,0.0,1.0,0,0.0,0,1.0,0
CVD,Q55118269,Cardiovascular Disease Ontology,0,0.0,0.0,1.0,0,0,0.0,0.0,1.0,0,0.0,0,1.0,0
CVD,Q108737396,Centre Pour le Développement des Vaccins-Mali,0,0.6,0.0,1.0,0,0,0.0,0.0,1.0,0,0.0,0,1.0,0
CVD,Q65391441,CVD 909 Vi Prime Boost Study,0,0.6,0.0,1.0,0,0,0.0,0.0,1.0,0,0.0,0,1.0,0
CVD,Q96320395,CVD prevention : the journal of the International Society and Federation of Cardiology,0,2.4,0.0,1.0,0,0,0.0,0.0,1.0,0,0.0,0,1.0,0
CVD,Q100262880,Clean Vehicles Directive,0,0.0,0.69,1.0,0,1,0.6,0.69,1.0,0,18.11,1,1.0,0
CVD,Q123927341,CVD info.,0,0.6,0.0,1.0,0,0,0.0,0.0,1.0,0,0.0,0,1.0,0
CVD,Q63394690,CVD Nutrition Education for Low Literacy ESL Students,0,1.8,0.0,1.0,0,0,0.0,0.0,1.0,0,0.0,0,1.0,0
CVD,Q30284574,CVD Technologies (United Kingdom),0,1.2,0.0,1.0,0,0,0.0,0.0,1.0,0,0.0,0,1.0,0
CVD,Q100345398,CVDB - MUNICIPAL ENERGY EFFICIENCY PROGRAMME project,0,0.0,0.0,1.0,0,0,0.0,0.0,1.0,0,0.0,0,1.0,0
CVD,Q30298966,Clorovale Diamantes (Brazil),0,0.6,0.0,1.0,0,0,0.6,0.0,1.0,0,0.0,0,1.0,0
CVD,Q122960264,cardiac valvular dysplasia 2,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0
CVD,Q66065283,CVD 37000: Immunity and Microbiome Studies at Intestinal and Systemic Sites in Ty21a Vaccinated Adults,0,2.4,0.0,1.0,0,0,0.0,0.0,1.0,0,0.0,0,1.0,0
CVD,Q123936934,CVD haven. Info-brief.,0,0.6,0.0,1.0,0,0,0.0,0.0,1.0,0,0.0,0,1.0,0
CVD,Q63599804,CVD 38000: Study of Responses to Vaccination With Typhoid and/or Cholera,0,3.6,0.0,1.0,0,0,0.0,0.0,1.0,0,0.0,0,1.0,0
CVD,Q62054033,CVD Nutrition Education,0,0.6,0.0,1.0,0,0,0.0,0.0,1.0,0,0.0,0,1.0,0
CVD,Q65382839,CVD Risk Reduction Trial,0,0.6,0.0,1.0,0,0,0.0,0.0,1.0,0,0.0,0,1.0,0
CVD,Q96052471,Cockpit Voice and Data Recorder,0,0.6,0.0,0.0,1,0,0.0,0.0,0.0,1,0.0,0,0.0,1
CVD,Q63805151,CVD Risk Factor Knowledge Across Age Groups,0,0.6,0.0,1.0,0,0,0.0,0.0,1.0,0,0.0,0,1.0,0
CVD,Q66061699,CVD Risk and Health in Postmenopausal Phytoestrogen Users,0,1.8,0.0,1.0,0,0,0.0,0.0,1.0,0,0.0,0,1.0,0
CVD,Q97615288,CVD Techniques for the Synthesis or Modification of Porous Ceramics,0,3.6,0.0,1.0,0,0,0.0,0.0,1.0,0,0.0,0,1.0,0
CVD,Q130882675,Cardiovascular Diseases Research Institute,0,0.6,0.0,1.0,0,0,0.0,0.0,1.0,0,0.0,0,1.0,0
CVD,Q126392607,CVD coated cutting tool,0,0.6,0.0,1.0,0,0,0.0,0.0,1.0,0,0.0,0,1.0,0
CVD,Q126392874,CVD coated cutting tool,0,0.6,0.0,1.0,0,0,0.0,0.0,1.0,0,0.0,0,1.0,0
CVD,Q66036763,CVD Risk Factors and Sexual Identity in Women,0,1.8,0.0,1.0,0,0,0.0,0.0,1.0,0,0.0,0,1.0,0
CVD,Q123934185,CVD-info haven.,0,0.0,0.0,1.0,0,0,0.0,0.0,1.0,0,0.0,0,1.0,0
CVD,Q106641023,CVD-0013943,0,0.6,0.0,1.0,1,0,0.0,0.0,1.0,1,0.0,0,1.0,1
CVD,Q105699400,Computer Vision meets Databases,0,0.0,0.0,1.0,0,0,0.0,0.0,1.0,0,0.0,0,1.0,0
CVD,Q123931901,CVD wegtransport.,0,0.6,0.0,1.0,0,0,0.0,0.0,1.0,0,0.0,0,1.0,0
CVD,Q66060160,CVD Nutrition Modules Tailored to Low Literacy Skills,0,1.8,0.0,1.0,0,0,0.0,0.0,1.0,0,0.0,0,1.0,0
CVD,Q123927421,CVD-informatief.,0,0.0,0.0,1.0,0,0,0.0,0.0,1.0,0,0.0,0,1.0,0
CVD,Q36405798,CVD risk factors and ethnicity--a homogeneous relationship?,0,1.2,0.0,1.0,0,0,0.0,0.0,1.0,0,0.0,0,1.0,0
CVD,Q33462036,"CVD synthesis of large-area, highly crystalline MoSe2atomic layers on diverse substrates and application to photodetectors",0,3.0,0.0,1.0,0,0,0.0,0.0,1.0,0,0.0,0,1.0,0
CVD,Q39387437,"CVD-associated non-coding RNA, ANRIL, modulates expression of atherogenic pathways in VSMC.",0,1.2,0.0,1.0,0,0,0.0,0.0,1.0,0,0.0,0,1.0,0
CVD,Q36854777,"CVD 908, CVD 908-htrA, and CVD 909 live oral typhoid vaccines: a logical progression",0,2.4,0.0,1.0,0,0,0.0,0.0,1.0,0,0.0,0,1.0,0
CVD,Q26787020,"CVD Prevention Through Policy: a Review of Mass Media, Food/Menu Labeling, Taxation/Subsidies, Built Environment, School Procurement, Worksite Wellness, and Marketing Standards to Improve Diet",0,3.6,0.0,1.0,0,0,0.0,0.0,1.0,0,0.0,0,1.0,0
CVD,Q38754143,CVD and Oxidative Stress,0,1.8,0.0,1.0,0,0,0.0,0.0,1.0,0,0.0,0,1.0,0
CVD,Q38025887,"CVD of polymeric thin films: applications in sensors, biotechnology, microelectronics/organic electronics, microfluidics, MEMS, composites and membranes",0,4.8,0.0,1.0,0,0,0.0,0.0,1.0,0,0.0,0,1.0,0
CVD,Q41853476,CVD-Enabled Graphene Manufacture and Technology,0,1.2,0.0,1.0,0,0,0.0,0.0,1.0,0,0.0,0,1.0,0
CVD,Q30422416,"CVD110, an attenuated Vibrio cholerae O1 El Tor live oral vaccine strain",0,0.6,0.0,1.0,0,0,0.0,0.0,1.0,0,0.0,0,1.0,0
CVD,Q36593397,CVD growth of large area smooth-edged graphene nanomesh by nanosphere lithography,0,2.4,0.0,1.0,0,0,0.0,0.0,1.0,0,0.0,0,1.0,0
CVD,Q37331653,CVD risk among men participating in the National Health and Nutrition Examination Survey (NHANES) from 2001 to 2010: differences by sexual minority status,0,4.2,0.0,1.0,0,0,0.0,0.0,1.0,0,0.0,0,1.0,0
CVD,Q51068631,CVD synthesis of single-walled carbon nanotubes from gold nanoparticle catalysts,0,2.4,0.0,1.0,0,0,0.0,0.0,1.0,0,0.0,0,1.0,0
CVD,Q57756374,CVD graphene electrochemistry: biologically relevant molecules,0,2.4,0.0,1.0,0,0,0.0,0.0,1.0,0,0.0,0,1.0,0
CVD,Q559486,cycle de développement,0,1.8,3.3,0.0,1,0,0.0,3.3,0.0,1,0.0,26,0.0,1
CVD,Q188722,CQFD,0,0.0,3.85,2.0,0,1,0.6,3.85,2.0,0,21.5,46,2.0,0
CVD,Q105427364,King's Commissioner of Drenthe,0,0.6,0.0,1.0,1,0,0.0,0.0,1.0,1,0.0,0,1.0,1
CVD,Q2610633,Commissariaat voor de Media,0,0.0,1.1,1.0,0,0,0.0,1.1,1.0,0,0.0,2,1.0,0
CVD,Q27516596,King's Commissioner of North Holland,0,0.6,0.0,1.0,1,0,0.0,0.0,1.0,1,0.0,0,1.0,1
CVD,Q28530179,King's Commissioner of Gelderland,0,0.6,0.0,1.0,1,0,0.0,0.0,1.0,1,0.0,0,1.0,1
CVD,Q28801911,King's Commissioner of Limburg,0,0.6,0.0,1.0,1,0,0.0,0.0,1.0,1,0.0,0,1.0,1
CVD,Q105427365,King's Commissioner of Overijssel,0,0.6,0.0,1.0,1,0,0.0,0.0,1.0,1,0.0,0,1.0,1
CVD,Q27531658,King's Commissioner of South Holland,0,0.6,0.0,1.0,1,0,0.0,0.0,1.0,1,0.0,0,1.0,1
CVD,Q105427369,King's Commissioner of North Brabant,0,0.6,0.0,1.0,1,0,0.0,0.0,1.0,1,0.0,0,1.0,1
CVD,Q27650822,King's Commissioner of Utrecht,0,0.6,0.0,1.0,1,0,0.0,0.0,1.0,1,0.0,0,1.0,1
CVD,Q110599030,Cimetière de Vieux Doulon,0,0.0,0.0,1.0,0,0,0.0,0.0,1.0,0,0.0,0,1.0,0
CVD,Q1054114,Centralverband deutscher Industrieller,0,0.0,1.1,1.0,0,0,0.0,1.1,1.0,0,0.0,2,1.0,0
CVD,Q105427368,King's Commissioner of Zeeland,0,0.6,0.0,1.0,1,0,0.0,0.0,1.0,1,0.0,0,1.0,1
CVD,Q105427363,King's Commissioner of Friesland,0,0.6,0.0,1.0,1,0,0.0,0.0,1.0,1,0.0,0,1.0,1
CVD,Q105427362,commissaire du Roi à Groningue,0,0.0,0.0,1.0,1,0,0.0,0.0,1.0,1,0.0,0,1.0,1
CVD,Q105427367,commissaire du Roi au Flevoland,0,0.0,0.0,1.0,1,0,0.0,0.0,1.0,1,0.0,0,1.0,1
CVD,Q1068846,Cheerleadervereinigung Deutschland,0,0.0,0.69,1.0,0,1,0.6,0.69,1.0,0,18.11,1,1.0,0
CVD,Q104970676,CVDQDOSSUTXMST-CYWWHKOBSA-N,0,0.0,0.0,1.0,1,0,0.0,0.0,1.0,1,0.0,0,1.0,1
CVD,Q104970674,CVDBEMJTPGTIID-JFVXFANOSA-N,0,2.4,0.0,1.0,1,0,0.0,0.0,1.0,1,0.0,0,1.0,1
CVD,Q104970678,CVDQDOSSUTXMST-UHFFFAOYSA-N,0,2.4,0.0,1.0,1,0,0.0,0.0,1.0,1,0.0,0,1.0,1
CVD,Q104970677,CVDQDOSSUTXMST-NHZFSLKXSA-N,0,0.0,0.0,1.0,1,0,0.0,0.0,1.0,1,0.0,0,1.0,1
CVD,Q2755194,China Video Disc,0,0.0,1.79,1.0,0,1,0.6,1.79,1.0,0,18.77,5,1.0,0
CVD,Q131322735,CVdP,0,0.0,0.69,1.0,0,0,0.0,0.69,1.0,0,0.0,1,1.0,0
CVD,Q116110164,CVD-Synthese und Charakterisierung von Trägerkatalysatoren in einem Wirbelschichtreaktor (T 2),0,0.6,0.0,2.0,0,0,0.0,0.0,2.0,0,0.0,0,2.0,0
CVD,Q116083480,CVD-Prozesse mit neuartigen metallorganischen Precursoren zur Herstellung von hoch-Epsilon Gatedielektrika und metallischen Gatelektroden zukünftiger CMOS-Generation,0,0.0,0.0,2.0,0,0,0.0,0.0,2.0,0,0.0,0,2.0,0
CVD,Q116083481,CVD-Prozesse mit neuartigen metallorganischen Precursoren zur Herstellung von hoch-Epsilon Gatedielektrika und metallischen Gatelektroden zukünftiger CMOS-Generation,0,0.0,0.0,2.0,0,0,0.0,0.0,2.0,0,0.0,0,2.0,0
3D numerical simulations,Q30458134,3D numerical simulations of fault gouge evolution during shear: Grain size reduction and strain localization,0,2.4,0.0,1.0,0,0,0.0,0.0,1.0,0,0.0,0,1.0,0
